99
8357777158805148982606865407506,473
-34249249334486543640339283730730797779308798634612328380851853932068,-72051882513783384340517754369089773762601521651
31915092247326,3
10215591414569825865879626992023736129311660391930469321128546063783,2182043839
-15624051335392501478395821947774055833261370982,-10922845581066
-4393476732925308162005990347877490342893420588,8189027770708942050362331370952709014630313258
-22263388654440028222714217090127564984394239980480334816411858651842160982281457844772,-15
-43861113140611314185196054660689217839836501077015545847316381297706454544647780566,-3
-959124275507920265983667288232788161515374491702108525369835927495220141997751,-10686795744343518628594643231871
-164955520387603332089052434324012663944592533636694,38591916634407806762225378226568554338
26924159113960537363018417170470194068063301,-98897438142725893609513205271864008909237718051498417827308492386737142561258
-73934957335890891024593412525439,-168046565533736
-6073849594155602265501,7165365612327545230238842523069001711564717426190916964249744908827997108
-115510991772125296895607239284280820715114177730805293523175420017000989259491324683,-1058924813954233449896101895517781075713257493250942987932280840351
22249,7052210213431810
34923540419760731057024220572680836304695045,-505144435346761627371398369909140363703460071634404534986
178217259304075712359446014802418215766235188049847165016380962,-1584894745021204001801826930624862328920312169493393490035662109805
183838519658072012980547156582112361229484594676821778032541,17246351311929340732182660
-341581847937746607113884160205112697979035,-2926761824819368078145672625911187
121636874,-288252417290968553953580116873790253
68316418317487511838556879634270535683829952508707259559436397451865832595158902026418,5650788783849670863390095026510209262253715696953232291764070
113,-54825681317386644573956961404343707580957935738481761556673785114852483675
62174125492627955452135048268,1714058201996688421974337853870737215426174891170763050092951436201967706147749220
20677397533390,992437
3828911935868222309096703179221309874666437675653126438148202,-39157090552193061040746064332
940826866154,-61582922360374851623929156250815738850167405766781503479150489755844005756515993652193129
-49875960537036229742,-4838425783142943524664895725697649111466690903727922
7929531860353739572394350,-512598892364805837968979131524601018447185
-113134668178310494920203048819585765738812354256784327022932010251562572,1358017075180322682514514195551630475417500356718
224527298291481333128128531530177547410756215978218677391405981,-5399328646274019645503468265581765966485327077336
-34933819408203985898666646263985071765659655731611292144498680006731123616745,358
1186636605873699082732486773354437677283049490583787861040262465378675462271911288515477,175377234356836432613537515624684298061252528956391799943725075100087600
-11428735185783183763145910188219072678,12744799511244471218
3365020015171076379670045318273270886,-6156621126005042922412875514396775192979754385686170727710139483586068353434020838430869
128172272083210802795237082441671022384593221889227432122725137479366830844,20979
-102984478918758751666639351944941101943972720733703240,-2209860158881110676925
-27967881609519787197,49846717510377860737782557720
-58391031088015051828165718,-421717563
-153184451866510577471412128284309414003004376430466,283683740604411856771111822370141608288440705880881876467634850294352
-19790576362175516869650906995914906454717149,-23022
-37717290,11141308160046012933806958283530041908136048758014817092
-15666703786942196048130728696395995445281880811870,9259729551382609226
32995921603081176079794678397655937520625940715967980132,516323668511317613619211227424526197461567866967299
-8942494823789403217420977263783604493868119712908753259342460685785,-12307493584334270131104003492012956429189899
17997956160593722862317958830540866599648752899598259402392448493377828694476663223107873,-369791243
4877951007183083511815643240946632008589710875,-204169857022806131621616374595938633674534457327691783075003921760206588
13611424245,1488717313311507
